player_a,player_b,condition,round_type,prediction,actual_winner,gap,score_a,score_b,result,correct
Andy Sullivan,Rafa Cabrera Bello,Calm,Open,SKIP,Rafa Cabrera Bello,-4.652023106612477,-2.5944099378881984,2.0576131687242785,SKIP,
Adrian Otaegui,Dylan Frittelli,Calm,Open,SKIP,Push,1.2230319925660438,3.2806451612903222,2.0576131687242785,PUSH,
Jordan Gumberg,David Law,Calm,Open,David Law,Jordan Gumberg,-7.5177851840630225,-4.412195121951221,3.1055900621118018,LOSS,False
Tom Vaillant,Kazuma Kobori,Calm,Open,Kazuma Kobori,Push,-12.790814652815746,-2.7101694915254235,10.080645161290322,PUSH,
Aaron Cockerill,Stefano Mazzoli,Calm,Open,Stefano Mazzoli,Aaron Cockerill,-6.25823972512224,-5.194409937888199,1.063829787234041,LOSS,False
Matt Killeen,Adri Arnaus,Calm,Open,SKIP,Adri Arnaus,-4.1,-9.363157894736842,-5.2631578947368425,SKIP,
Jack Senior,Felix Mory,Calm,Open,SKIP,Jack Senior,0.8826127552470275,-5.880672268907561,-6.763285024154588,SKIP,
Maximilian Steinlechner,Joshua Berry,Calm,Open,SKIP,Maximilian Steinlechner,2.77505509917852,5.880645161290322,3.1055900621118018,SKIP,
Nathan Kimsey,Niklas Norgaard,Calm,Open,SKIP,Nathan Kimsey,-0.3698082906754989,1.6878048780487795,2.0576131687242785,SKIP,
Angel Ayora,Oliver Lindell,Calm,Open,SKIP,Oliver Lindell,-4.199999999999999,-9.463157894736842,-5.2631578947368425,SKIP,
Jorge Campillo,Adrian Otaegui,Calm,Open,Adrian Otaegui,Jorge Campillo,-13.723031992566044,-3.6423868312757217,10.080645161290322,LOSS,False
Thriston Lawrence,Frederic Lacroix,Calm,Open,SKIP,Thriston Lawrence,4.453115532629164,-2.310169491525424,-6.763285024154588,SKIP,
Wenyi Ding,Eugenio Chacarra,Calm,Open,Wenyi Ding,Wenyi Ding,5.392840283241542,5.880645161290322,0.4878048780487796,WIN,True
Mikael Lindberg,Martin Couvra,Calm,Open,Martin Couvra,Martin Couvra,-8.3,-7.23617021276596,1.063829787234041,WIN,True
Grant Forrest,Dan Bradbury,Calm,Open,SKIP,Dan Bradbury,-2.2244381133270026,-0.9423868312757215,1.282051282051281,SKIP,
Joost Luiten,Sean Crocker,Calm,Open,Sean Crocker,Joost Luiten,-15.74980657640232,-10.636170212765958,5.1136363636363615,LOSS,False
Jose Luis Ballester,Sergio Garcia,Calm,Open,Sergio Garcia,Sergio Garcia,-6.5817785051827595,-5.517948717948719,1.063829787234041,WIN,True
Bryson DeChambeau,Joaquin Niemann,Calm,Open,Joaquin Niemann,Bryson DeChambeau,-12.36700879765396,-2.286363636363639,10.080645161290322,LOSS,False
Talor Gooch,Dustin Johnson,Calm,Open,Talor Gooch,Talor Gooch,7.661317430197883,5.980645161290322,-1.6806722689075608,WIN,True
Tyrrell Hatton,Thomas Pieters,Calm,Open,Thomas Pieters,Thomas Pieters,-11.615009746588695,-9.763157894736842,1.8518518518518527,WIN,True
Marc Leishman,Louis Oosthuizen,Calm,Open,Marc Leishman,Louis Oosthuizen,8.543803056027166,3.2806451612903222,-5.2631578947368425,LOSS,False
Sebastian Munoz,Thomas Detry,Calm,Open,Thomas Detry,Thomas Detry,-6.8,-5.736170212765959,1.063829787234041,WIN,True
Carlos Ortiz,Tom McKibbin,Calm,Open,SKIP,Carlos Ortiz,-4.384240446362774,-0.9944099378881979,3.389830508474576,SKIP,
David Puig,Dean Burmester,Calm,Open,SKIP,David Puig,-2.767782660249702,-0.7101694915254235,2.0576131687242785,SKIP,
