player_a,player_b,player_c,recommendation,prediction,actual_winner,is_push,edge,result,correct
Mackenzie Hughes,Eric Cole,Rico Hoey,SLIGHT: C favored,Rico Hoey,Eric Cole,False,3.1430222114709085,LOSS,False
Marc Leishman,Jose Luis Ballester,Paul Casey,SLIGHT: C favored,Paul Casey,Jose Luis Ballester,False,2.942321907016442,LOSS,False
Angel Ayora,Antoine Rozner,Pablo Larrazabal,SLIGHT: C favored,Pablo Larrazabal,Angel Ayora,False,2.854758857241704,LOSS,False
Shubhankar Sharma,Jordan Gumberg,David Ravetto,SLIGHT: C favored,David Ravetto,Jordan Gumberg,False,2.713205190857032,LOSS,False
Brian Campbell,Karl Vilips,Aaron Rai,SLIGHT: B favored,Karl Vilips,Karl Vilips,False,2.565774427607179,WIN,True
Tom Kim,Rickie Fowler,Max Greyserman,SLIGHT: A favored,Tom Kim,Max Greyserman,False,2.544865344067474,LOSS,False
Rickie Fowler,Max Greyserman,Tom Kim,SLIGHT: C favored,Tom Kim,Max Greyserman,False,2.544865344067474,LOSS,False
Jayden Schaper,Patrick Reed,Andy Sullivan,SLIGHT: C favored,Andy Sullivan,Jayden Schaper,False,2.4627546693871585,LOSS,False
Chris Gotterup,Robert MacIntyre,Justin Rose,SLIGHT: C favored,Justin Rose,Chris Gotterup,False,2.390816048292825,LOSS,False
Chris Gotterup,Justin Rose,Robert MacIntyre,SLIGHT: B favored,Justin Rose,Chris Gotterup,False,2.390816048292825,LOSS,False
Yurav Premall,Estiaan Conradie,Rhys Enoch,SLIGHT: A favored,Yurav Premall,,True,2.274832138675274,PUSH,
Adam Svensson,Rico Hoey,Max McGreevy,SLIGHT: A favored,Adam Svensson,Max McGreevy,False,2.2599272204901784,LOSS,False
Marcus Armitage,Herman Loubser,Angel Hidalgo,SLIGHT: A favored,Marcus Armitage,Herman Loubser,False,2.2599272204901784,LOSS,False
Matt Wallace,Matti Schmid,S.H. Kim,SLIGHT: B favored,Matti Schmid,S.H. Kim,False,2.2599272204901784,LOSS,False
Xander Schauffele,Keegan Bradley,Patrick Cantlay,SLIGHT: B favored,Keegan Bradley,Xander Schauffele,False,2.1862670959287485,LOSS,False
Michael Hollick,Romain Langasque,Casey Jarvis,SLIGHT: C favored,Casey Jarvis,Casey Jarvis,False,2.1601307863921626,WIN,True
Garrick Higgo,Aaron Rai,Matt Fitzpatrick,SLIGHT: A favored,Garrick Higgo,Aaron Rai,False,2.064473140123744,LOSS,False
Matt Fitzpatrick,Garrick Higgo,Aaron Rai,SLIGHT: B favored,Garrick Higgo,Aaron Rai,False,2.064473140123744,LOSS,False
Tobias Jonsson,Aaron Cockerill,Sebastian Garcia Rodriguez,SLIGHT: A favored,Tobias Jonsson,,True,2.055431230828982,PUSH,
Tom Vaillant,Mike Kisia,Dan Erickson,SLIGHT: C favored,Dan Erickson,Tom Vaillant,False,1.9650844654712776,LOSS,False
Maximilian Kieffer,Yannik Paul,Lucas Bjerregaard,SLIGHT: A favored,Maximilian Kieffer,,True,1.9650844654712776,PUSH,
Kurt Kitayama,Nico Echavarria,Jake Knapp,SLIGHT: A favored,Kurt Kitayama,Kurt Kitayama,False,1.9308022268099323,WIN,True
Jake Knapp,Kurt Kitayama,Nico Echavarria,SLIGHT: B favored,Kurt Kitayama,Kurt Kitayama,False,1.9308022268099323,WIN,True
Seamus Power,Charley Hoffman,Christiaan Bezuidenhout,SLIGHT: C favored,Christiaan Bezuidenhout,,True,1.83353532331582,PUSH,
