player_a,player_b,condition,round_type,prediction,actual_winner,gap,score_a,score_b,result,correct
Victor Perez,Dustin Johnson,Moderate,Open,SKIP,Victor Perez,-7.004717196146538,-7.004717196146538,0.0,SKIP,
Jon Rahm,David Puig,Moderate,Open,SKIP,Jon Rahm,-3.1430222114709085,-3.1430222114709085,0.0,SKIP,
Elvis Smylie,Abraham Ancer,Moderate,Open,SKIP,Elvis Smylie,-3.1430222114709085,-3.1430222114709085,0.0,SKIP,
Caleb Surratt,Anthony Kim,Moderate,Open,Anthony Kim,Push,-16.457663080453408,-16.457663080453408,0.0,PUSH,
Peter Uihlein,Paul Casey,Moderate,Open,SKIP,Paul Casey,-7.004717196146538,-7.004717196146538,0.0,SKIP,
Harold Varner III,Jose Luis Ballester,Moderate,Open,SKIP,Harold Varner III,-3.1430222114709085,-3.1430222114709085,0.0,SKIP,
Matthew Wolff,Richard T. Lee,Moderate,Open,Richard T. Lee,Richard T. Lee,-8.127067722374239,-8.127067722374239,0.0,WIN,True
Christiaan Bezuidenhout,Thorbjorn Olesen,Moderate,Open,Thorbjorn Olesen,Christiaan Bezuidenhout,-13.935419213444785,-13.935419213444785,0.0,LOSS,False
Bud Cauley,Mac Meissner,Moderate,Open,SKIP,Bud Cauley,-2.201781955537615,-2.201781955537615,0.0,SKIP,
Daniel Berger,Alex Noren,Moderate,Open,Alex Noren,Alex Noren,-8.127067722374239,-8.127067722374239,0.0,WIN,True
Ryan Gerard,Michael Thorbjornsen,Moderate,Open,Michael Thorbjornsen,Ryan Gerard,-8.815040377057523,-8.815040377057523,0.0,LOSS,False
Max Homa,Kristoffer Reitan,Moderate,Open,SKIP,Max Homa,-3.1430222114709085,-3.1430222114709085,0.0,SKIP,
Taylor Pendrith,Rasmus Hojgaard,Moderate,Open,SKIP,Taylor Pendrith,-7.67494000252621,-7.67494000252621,0.0,SKIP,
Akshay Bhatia,Viktor Hovland,Moderate,Open,SKIP,Viktor Hovland,-3.1430222114709085,-3.1430222114709085,0.0,SKIP,
Patrick Cantlay,Maverick McNealy,Moderate,Open,Maverick McNealy,Maverick McNealy,-8.815040377057523,-8.815040377057523,0.0,WIN,True
Ludvig Aberg,Russell Henley,Moderate,Open,SKIP,Russell Henley,-3.8630792336381194,-3.8630792336381194,0.0,SKIP,
Tommy Fleetwood,Si Woo Kim,Moderate,Open,SKIP,Tommy Fleetwood,0.7769622730033564,0.7769622730033564,0.0,SKIP,
Scottie Scheffler,Collin Morikawa,Moderate,Open,SKIP,Scottie Scheffler,0.7769622730033564,0.7769622730033564,0.0,SKIP,
Harris English,Robert MacIntyre,Moderate,Open,Robert MacIntyre,Robert MacIntyre,-13.935419213444785,-13.935419213444785,0.0,WIN,True
Matt Fitzpatrick,Jake Knapp,Moderate,Open,SKIP,Matt Fitzpatrick,-2.201781955537615,-2.201781955537615,0.0,SKIP,
Jacob Bridgeman,Pierceson Coody,Moderate,Open,Pierceson Coody,Jacob Bridgeman,-8.815040377057523,-8.815040377057523,0.0,LOSS,False
Ryan Fox,Alex Smalley,Moderate,Open,SKIP,Alex Smalley,-2.201781955537615,-2.201781955537615,0.0,SKIP,
Kurt Kitayama,Ben Griffin,Moderate,Open,Ben Griffin,Ben Griffin,-13.99490841106625,-13.99490841106625,0.0,WIN,True
Adam Scott,Harry Hall,Moderate,Open,SKIP,Adam Scott,0.7769622730033564,0.7769622730033564,0.0,SKIP,
Rickie Fowler,Shane Lowry,Moderate,Open,Shane Lowry,Push,-8.815040377057523,-8.815040377057523,0.0,PUSH,
